ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,05-Dec-24,"15,588.45 ",MINOR BUILDING WORKS,V002054211
ROCHDALE BOROUGH COUNCIL,05-Dec-24,ADULT CARE LCO FUNCTIONS,STANNAH LIFT SERVICES LTD,05-Dec-24,"6,813.00 ",MINOR BUILDING WORKS,V002092734
ROCHDALE BOROUGH COUNCIL,17-Dec-24,ECONOMY DIRECTORATE,ELEMENT SUSTAINABILITY LTD,17-Dec-24,845.00 ,PROFESSIONAL FEES,V002191195
ROCHDALE BOROUGH COUNCIL,10-Dec-24,ECONOMY DIRECTORATE,CLICK 24 LTD,10-Dec-24,375.00 ,REPAIRS & ALTS OF BUILDINGS,V002222343
ROCHDALE BOROUGH COUNCIL,20-Dec-24,ECONOMY DIRECTORATE,NPOWER COMMERCIAL GAS,20-Dec-24,56.82 ,ELECTRICITY,V002222501
ROCHDALE BOROUGH COUNCIL,20-Dec-24,ECONOMY DIRECTORATE,NPOWER COMMERCIAL GAS,20-Dec-24,41.95 ,ELECTRICITY,V002222649
ROCHDALE BOROUGH COUNCIL,20-Dec-24,ECONOMY DIRECTORATE,NPOWER COMMERCIAL GAS,20-Dec-24,46.08 ,ELECTRICITY,V002222650
ROCHDALE BOROUGH COUNCIL,20-Dec-24,ECONOMY DIRECTORATE,NPOWER COMMERCIAL GAS,20-Dec-24,54.53 ,ELECTRICITY,V002222651
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,155.89 ,BUILDING MATERIALS,V002225301
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,06-Dec-24,90.00 ,PROPERTY - WORKS ELEMENT,V002229504
ROCHDALE BOROUGH COUNCIL,02-Dec-24,RESOURCES,VALTECH LTD,02-Dec-24,447.12 ,EXTERNAL CONTRACTED PRINTING,V002230384
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,55.85 ,BUILDING MATERIALS,V002234563
ROCHDALE BOROUGH COUNCIL,11-Dec-24,RESOURCES,FORBES SOLICITORS,11-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002234706
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,18.99 ,BUILDING MATERIALS,V002234738
ROCHDALE BOROUGH COUNCIL,23-Dec-24,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,23-Dec-24,275.00 ,MINOR BUILDING WORKS,V002235723
ROCHDALE BOROUGH COUNCIL,27-Dec-24,EARLY HELP AND SCHOOLS,TTS GROUP LIMITED,27-Dec-24,34.99 ,EQUIPMENT - GENERAL,V002236555
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,10.39 ,BUILDING MATERIALS,V002246469
ROCHDALE BOROUGH COUNCIL,20-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,20-Dec-24,78.57 ,BUILDING MATERIALS,V002246499
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,05-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002246518
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,06-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002246861
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,06-Dec-24,135.00 ,PROPERTY - WORKS ELEMENT,V002248534
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,06-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002249269
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,05-Dec-24,180.00 ,PROPERTY - WORKS ELEMENT,V002256882
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,10.61 ,BUILDING MATERIALS,V002257666
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,3.43 ,BUILDING MATERIALS,V002258306
ROCHDALE BOROUGH COUNCIL,19-Dec-24,ADULT CARE LCO FUNCTIONS,SPOT ADVOCACY,19-Dec-24,228.80 ,FEES / COMMISSION,V002260160
ROCHDALE BOROUGH COUNCIL,03-Dec-24,RESOURCES,REDACTED - PERSONAL DATA,03-Dec-24,276.90 ,OTHER POST MORTEMS,V002261138
ROCHDALE BOROUGH COUNCIL,03-Dec-24,RESOURCES,REDACTED - PERSONAL DATA,03-Dec-24,319.00 ,OTHER HISTOLOGY,V002261138
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BROWNS LADDERS AND CEILINGS LIMITED,03-Dec-24,300.00 ,REPAIRS & ALTS OF BUILDINGS,V002263183
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BROWNS LADDERS AND CEILINGS LIMITED,03-Dec-24,300.00 ,REPAIRS & ALTS OF BUILDINGS,V002263183
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BROWNS LADDERS AND CEILINGS LIMITED,03-Dec-24,60.00 ,REPAIRS & ALTS OF BUILDINGS,V002263183
ROCHDALE BOROUGH COUNCIL,03-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,BROWNS LADDERS AND CEILINGS LIMITED,03-Dec-24,60.00 ,REPAIRS & ALTS OF BUILDINGS,V002263183
ROCHDALE BOROUGH COUNCIL,17-Dec-24,ECONOMY DIRECTORATE,PLAN RED LTD,17-Dec-24,"1,785.00 ",CONSULTANTS FEES,V002268331
ROCHDALE BOROUGH COUNCIL,16-Dec-24,EARLY HELP AND SCHOOLS,NORTH RIDGE HIGH SCHOOL,16-Dec-24,"9,385.00 ",OTHER EST - SEN PROVISION,V002269608
ROCHDALE BOROUGH COUNCIL,02-Dec-24,RESOURCES,VALTECH LTD,02-Dec-24,612.72 ,EXTERNAL CONTRACTED PRINTING,V002269704
ROCHDALE BOROUGH COUNCIL,11-Dec-24,RESOURCES,KEOGHS LLP OFFICE ACCOUNT,11-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002272152
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,PARR ROCHDALE LIMITED,05-Dec-24,25.45 ,MATERIAL - GENERAL,V002277774
ROCHDALE BOROUGH COUNCIL,16-Dec-24,ECONOMY DIRECTORATE,SHERRATT GROUP LTD,16-Dec-24,64.00 ,GROUNDS MAINTENANCE GENERAL,V002283426
ROCHDALE BOROUGH COUNCIL,13-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,OASIS UK LTD,13-Dec-24,791.30 ,TRANSACTIONS-EXPENDITURE,V002285782
ROCHDALE BOROUGH COUNCIL,03-Dec-24,ECONOMY DIRECTORATE, WALKER SIME LTD,03-Dec-24,"1,875.75 ",CONSULTANTS FEES,V002288158
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,06-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002290007
ROCHDALE BOROUGH COUNCIL,19-Dec-24,ECONOMY DIRECTORATE,WATER PLUS,19-Dec-24,38.71 ,WATER CHARGES,V002290146
ROCHDALE BOROUGH COUNCIL,19-Dec-24,ECONOMY DIRECTORATE,WATER PLUS,19-Dec-24,332.46 ,WATER CHARGES,V002290146
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,12-Dec-24,232.00 ,ROOM HIRE,V002296522
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,05-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002297405
ROCHDALE BOROUGH COUNCIL,17-Dec-24,RESOURCES,MARSTON HOLDINGS LIMITED,17-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002300373
ROCHDALE BOROUGH COUNCIL,13-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,OASIS UK LTD,13-Dec-24,537.57 ,TRANSACTIONS-EXPENDITURE,V002302081
ROCHDALE BOROUGH COUNCIL,16-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,SHENSTONE PROPERTIES LTD,16-Dec-24,2.73 ,RENTS,V002302440
ROCHDALE BOROUGH COUNCIL,06-Dec-24,EARLY HELP AND SCHOOLS,BRADSHAW GASS AND HOPE LLP,06-Dec-24,600.00 ,CONSULTANTS FEES,V002306319
ROCHDALE BOROUGH COUNCIL,17-Dec-24,RESOURCES,JACOBS ENFORCEMENT LTD,17-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002306688
ROCHDALE BOROUGH COUNCIL,17-Dec-24,RESOURCES,JACOBS ENFORCEMENT LTD,17-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002306689
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,05-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002307288
ROCHDALE BOROUGH COUNCIL,05-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,SHORROCK TRICHEM LTD,05-Dec-24,86.43 ,MAINTENANCE,V002307391
ROCHDALE BOROUGH COUNCIL,03-Dec-24,EARLY HELP AND SCHOOLS,THE NURSERY,03-Dec-24,795.00 ,HOME CARE - CHILDRENS SERVICES,V002307470
ROCHDALE BOROUGH COUNCIL,24-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,CROWTHER AND SHAW LTD,24-Dec-24,198.75 ,REPAIRS & ALTS OF BUILDINGS,V002307952
ROCHDALE BOROUGH COUNCIL,03-Dec-24,ECONOMY DIRECTORATE,SWIFT SECURITY PRODUCTS LTD,03-Dec-24,120.00 ,REPAIRS & ALTS OF BUILDINGS,V002309264
ROCHDALE BOROUGH COUNCIL,03-Dec-24,ECONOMY DIRECTORATE,SWIFT SECURITY PRODUCTS LTD,03-Dec-24,10.00 ,REPAIRS & ALTS OF BUILDINGS,V002309264
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WOLSELEY UK LIMITED,12-Dec-24,21.44 ,BUILDING MATERIALS,V002309341
ROCHDALE BOROUGH COUNCIL,19-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,RUSHTONS DEVELOPMENTS LTD,19-Dec-24,"5,280.00 ",REPAIRS & ALTS OF BUILDINGS,V002309369
ROCHDALE BOROUGH COUNCIL,19-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,RUSHTONS DEVELOPMENTS LTD,19-Dec-24,"3,520.00 ",REPAIRS & ALTS OF BUILDINGS,V002309369
ROCHDALE BOROUGH COUNCIL,13-Dec-24,CHILDREN’S SOCIAL CARE,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,13-Dec-24,"2,201.71 ",FEES / COMMISSION,V002309406
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,05-Dec-24,90.00 ,PROPERTY - WORKS ELEMENT,V002309436
ROCHDALE BOROUGH COUNCIL,11-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,CLICK 24 LTD,11-Dec-24,273.22 ,REPAIRS & ALTS OF BUILDINGS,V002309584
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,12-Dec-24,175.00 ,ROOM HIRE,V002311128
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,12-Dec-24,40.00 ,ROOM HIRE,V002311128
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,12-Dec-24,100.00 ,ROOM HIRE,V002311129
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,12-Dec-24,40.00 ,ROOM HIRE,V002311129
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,12-Dec-24,100.00 ,ROOM HIRE,V002311132
ROCHDALE BOROUGH COUNCIL,12-Dec-24,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,12-Dec-24,25.00 ,ROOM HIRE,V002311132
ROCHDALE BOROUGH COUNCIL,19-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,REXEL UK LIMITED,19-Dec-24,567.75 ,BUILDING MATERIALS,V002311296
ROCHDALE BOROUGH COUNCIL,19-Dec-24,ADULT CARE LCO FUNCTIONS,ROCHDALE CRICKET LACROSSE AND SQUASH CLUB LTD,19-Dec-24,90.00 ,ROOM HIRE,V002311538
ROCHDALE BOROUGH COUNCIL,05-Dec-24,ECONOMY DIRECTORATE,LAVAT CONSULTING LIMITED,05-Dec-24,400.00 ,CONSULTANTS FEES,V002313065
ROCHDALE BOROUGH COUNCIL,19-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,RUSHTONS DEVELOPMENTS LTD,19-Dec-24,"4,920.00 ",REPAIRS & ALTS OF BUILDINGS,V002313140
ROCHDALE BOROUGH COUNCIL,19-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,RUSHTONS DEVELOPMENTS LTD,19-Dec-24,"3,280.00 ",REPAIRS & ALTS OF BUILDINGS,V002313140
ROCHDALE BOROUGH COUNCIL,05-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,SHORROCK TRICHEM LTD,05-Dec-24,48.75 ,MAINTENANCE,V002313141
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,THE PLAY INSPECTION COMPANY LTD,12-Dec-24,350.00 ,ENVIRONMENTAL WORKS LANDSCAPE,V002313164
ROCHDALE BOROUGH COUNCIL,16-Dec-24,ECONOMY DIRECTORATE,SHERRATT GROUP LTD,16-Dec-24,83.33 ,GROUNDS MAINTENANCE GENERAL,V002314585
ROCHDALE BOROUGH COUNCIL,16-Dec-24,ECONOMY DIRECTORATE,SHERRATT GROUP LTD,16-Dec-24,29.50 ,GROUNDS MAINTENANCE GENERAL,V002314586
ROCHDALE BOROUGH COUNCIL,16-Dec-24,ECONOMY DIRECTORATE,SHERRATT GROUP LTD,16-Dec-24,61.67 ,GROUNDS MAINTENANCE GENERAL,V002314587
ROCHDALE BOROUGH COUNCIL,16-Dec-24,ECONOMY DIRECTORATE,SHERRATT GROUP LTD,16-Dec-24,36.67 ,GROUNDS MAINTENANCE GENERAL,V002314588
ROCHDALE BOROUGH COUNCIL,16-Dec-24,ECONOMY DIRECTORATE,SHERRATT GROUP LTD,16-Dec-24,25.00 ,GROUNDS MAINTENANCE GENERAL,V002314589
ROCHDALE BOROUGH COUNCIL,16-Dec-24,ECONOMY DIRECTORATE,SHERRATT GROUP LTD,16-Dec-24,70.00 ,GROUNDS MAINTENANCE GENERAL,V002314591
ROCHDALE BOROUGH COUNCIL,03-Dec-24,ADULT CARE LCO FUNCTIONS,TF JONES PROPERTY SERVICES LTD,03-Dec-24,"2,157.54 ",MINOR BUILDING WORKS,V002314958
ROCHDALE BOROUGH COUNCIL,03-Dec-24,FINANCE CONTROL,NHS BUSINESS SERVICES AUTHORITY,03-Dec-24,"1,840.87 ",PENS INC ACT PMTS,V002315014
ROCHDALE BOROUGH COUNCIL,04-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WHEELDON BROTHERS WASTE LIMITED,04-Dec-24,563.36 ,REPAIRS & ALTS OF BUILDINGS,V002315101
ROCHDALE BOROUGH COUNCIL,04-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WHEELDON BROTHERS WASTE LIMITED,04-Dec-24,563.36 ,REPAIRS & ALTS OF BUILDINGS,V002315101
ROCHDALE BOROUGH COUNCIL,17-Dec-24,RESOURCES,JACOBS ENFORCEMENT LTD,17-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002315107
ROCHDALE BOROUGH COUNCIL,05-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,SHORROCK TRICHEM LTD,05-Dec-24,134.20 ,MAINTENANCE,V002316592
ROCHDALE BOROUGH COUNCIL,05-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,SHORROCK TRICHEM LTD,05-Dec-24,31.25 ,MAINTENANCE,V002316593
ROCHDALE BOROUGH COUNCIL,05-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,SHORROCK TRICHEM LTD,05-Dec-24,83.52 ,MAINTENANCE,V002316594
ROCHDALE BOROUGH COUNCIL,17-Dec-24,EARLY HELP AND SCHOOLS,FAMILY ACTION,17-Dec-24,8.00 ,PROVISIONS,V002316610
ROCHDALE BOROUGH COUNCIL,17-Dec-24,EARLY HELP AND SCHOOLS,FAMILY ACTION,17-Dec-24,1.00 ,PROVISIONS,V002316610
ROCHDALE BOROUGH COUNCIL,06-Dec-24,RESOURCES,APEX RADIO SYSTEMS LTD,06-Dec-24,25.00 ,HIRE OF EQUIPMENT,V002316619
ROCHDALE BOROUGH COUNCIL,19-Dec-24,PUBLIC HEALTH,THE OYSTER PARTNERSHIP LTD,19-Dec-24,"1,687.50 ",AGENCY STAFF,V002316657
ROCHDALE BOROUGH COUNCIL,04-Dec-24,ECONOMY DIRECTORATE,HARROPS HELPING HANDS LIMITED,04-Dec-24,204.00 ,CLEANING AND DOMESTIC SUPPLIES,V002319944
ROCHDALE BOROUGH COUNCIL,12-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,12-Dec-24,150.00 ,CONSUMABLES,V002320038
ROCHDALE BOROUGH COUNCIL,13-Dec-24,CHILDREN’S SOCIAL CARE,BANNER GROUP LIMITED,13-Dec-24,45.00 ,DATA LEASE LINE,V002320250
ROCHDALE BOROUGH COUNCIL,13-Dec-24,CHILDREN’S SOCIAL CARE,BANNER GROUP LIMITED,13-Dec-24,18.80 ,DATA LEASE LINE,V002320250
ROCHDALE BOROUGH COUNCIL,13-Dec-24,CHILDREN’S SOCIAL CARE,BANNER GROUP LIMITED,13-Dec-24,4.00 ,DATA LEASE LINE,V002320251
ROCHDALE BOROUGH COUNCIL,13-Dec-24,CHILDREN’S SOCIAL CARE,BANNER GROUP LIMITED,13-Dec-24,18.50 ,DATA LEASE LINE,V002320251
ROCHDALE BOROUGH COUNCIL,03-Dec-24,ECONOMY DIRECTORATE,LAVAT CONSULTING LIMITED,03-Dec-24,"2,200.00 ",CONSULTANTS FEES,V002320255
ROCHDALE BOROUGH COUNCIL,10-Dec-24,ADULT CARE LCO FUNCTIONS,TUNSTALL HEALTHCARE UK LTD,10-Dec-24,"3,900.00 ",PURCHASE OF FURNITURE AND EQUIPMENT,V002320344
ROCHDALE BOROUGH COUNCIL,10-Dec-24,ADULT CARE LCO FUNCTIONS,TUNSTALL HEALTHCARE UK LTD,10-Dec-24,800.00 ,PURCHASE OF FURNITURE AND EQUIPMENT,V002320344
ROCHDALE BOROUGH COUNCIL,10-Dec-24,ADULT CARE LCO FUNCTIONS,TUNSTALL HEALTHCARE UK LTD,10-Dec-24,"1,500.00 ",PURCHASE OF FURNITURE AND EQUIPMENT,V002320344
ROCHDALE BOROUGH COUNCIL,10-Dec-24,ADULT CARE LCO FUNCTIONS,TUNSTALL HEALTHCARE UK LTD,10-Dec-24,60.00 ,PURCHASE OF FURNITURE AND EQUIPMENT,V002320344
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PROPERTY AND HIGHWAYS,REACH PUBLISHING SERVICES LTD,06-Dec-24,"1,679.33 ",ADVERTISING/PUBLICITY,V002320418
ROCHDALE BOROUGH COUNCIL,03-Dec-24,RESOURCES,CIPFA BUSINESS LIMITED,03-Dec-24,155.00 ,TRAINING-QUALIFICATION,V002320478
ROCHDALE BOROUGH COUNCIL,03-Dec-24,RESOURCES,CIPFA BUSINESS LIMITED,03-Dec-24,155.00 ,TRAINING-QUALIFICATION,V002320478
ROCHDALE BOROUGH COUNCIL,17-Dec-24,RESOURCES,REDACTED - PERSONAL DATA,17-Dec-24,455.00 ,WITNESSES EXPENSES,V002320656
ROCHDALE BOROUGH COUNCIL,09-Dec-24,CHILDREN’S SOCIAL CARE,UK FOSTERING LTD,09-Dec-24,"5,174.70 ",FOSTER PARENTS BASIC ALLOWANCE,V002320659
ROCHDALE BOROUGH COUNCIL,10-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,10-Dec-24,30.00 ,PROVISIONS,V002320679
ROCHDALE BOROUGH COUNCIL,10-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,10-Dec-24,104.94 ,PROVISIONS,V002320680
ROCHDALE BOROUGH COUNCIL,10-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,10-Dec-24,650.00 ,PROVISIONS,V002320681
ROCHDALE BOROUGH COUNCIL,17-Dec-24,RESOURCES,JACOBS ENFORCEMENT LTD,17-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002320776
ROCHDALE BOROUGH COUNCIL,17-Dec-24,RESOURCES,JACOBS ENFORCEMENT LTD,17-Dec-24,0.00 ,INPUT VAT -  ADJUSTMENTS,V002320777
ROCHDALE BOROUGH COUNCIL,19-Dec-24,ECONOMY DIRECTORATE,SRL TECHNICAL SERVICES LTD,19-Dec-24,"2,250.00 ",CONSULTANTS FEES,V002320886
ROCHDALE BOROUGH COUNCIL,04-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,LANES GROUP PLC,04-Dec-24,635.00 ,MAINTENANCE,V002320920
ROCHDALE BOROUGH COUNCIL,05-Dec-24,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,05-Dec-24,45.00 ,PROPERTY - WORKS ELEMENT,V002321525
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HUGH STEEPER LIMITED,13-Dec-24,181.28 ,ADAPTATIONS,V002322831
ROCHDALE BOROUGH COUNCIL,06-Dec-24,PUBLIC HEALTH,THE OYSTER PARTNERSHIP LTD,06-Dec-24,"1,680.30 ",AGENCY STAFF,V002322875
ROCHDALE BOROUGH COUNCIL,09-Dec-24,CHILDREN’S SOCIAL CARE,ORANGE GROVE FOSTERCARE LTD,09-Dec-24,"4,088.59 ",FOSTER PARENTS BASIC ALLOWANCE,V002323951
ROCHDALE BOROUGH COUNCIL,09-Dec-24,CHILDREN’S SOCIAL CARE,ORANGE GROVE FOSTERCARE LTD,09-Dec-24,"4,476.49 ",FOSTER PARENTS BASIC ALLOWANCE,V002323952
ROCHDALE BOROUGH COUNCIL,09-Dec-24,ECONOMY DIRECTORATE,CONSTELLIA  PUBLIC LTD,09-Dec-24,"15,897.44 ",CONSULTANTS FEES,V002323953
ROCHDALE BOROUGH COUNCIL,09-Dec-24,ECONOMY DIRECTORATE,OFR CONSULTANTS LIMITED,09-Dec-24,"14,750.00 ",CONSULTANTS FEES,V002323955
ROCHDALE BOROUGH COUNCIL,05-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,PARR ROCHDALE LIMITED,05-Dec-24,19.90 ,EQUIPMENT - GENERAL,V002323962
ROCHDALE BOROUGH COUNCIL,03-Dec-24,PUBLIC HEALTH,SEVEN ARCHITECTURE LTD,03-Dec-24,850.00 ,CONSULTANTS FEES,V002323997
ROCHDALE BOROUGH COUNCIL,02-Dec-24,EARLY HELP AND SCHOOLS,SEVEN ARCHITECTURE LTD,02-Dec-24,"3,000.00 ",CONSULTANTS FEES,V002323998
ROCHDALE BOROUGH COUNCIL,02-Dec-24,EARLY HELP AND SCHOOLS,SEVEN ARCHITECTURE LTD,02-Dec-24,"1,200.00 ",CONSULTANTS FEES,V002323999
ROCHDALE BOROUGH COUNCIL,09-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,09-Dec-24,"1,676.70 ",PROVISIONS,V002325596
ROCHDALE BOROUGH COUNCIL,04-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,LANES GROUP PLC,04-Dec-24,445.00 ,MAINTENANCE,V002325650
ROCHDALE BOROUGH COUNCIL,12-Dec-24,RESOURCES,CARRICK SIGNS LTD,12-Dec-24,359.45 ,PRINTING & STATIONERY,V002325655
ROCHDALE BOROUGH COUNCIL,03-Dec-24,EARLY HELP AND SCHOOLS,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,03-Dec-24,"5,074.42 ",HEALTH AUTH - SERVICE LEVEL AGREEMENT,V002325706
ROCHDALE BOROUGH COUNCIL,02-Dec-24,PUBLIC HEALTH,PHS GROUP PLC,02-Dec-24,32.40 ,HYGIENE EQUIPMENT,V002325759
ROCHDALE BOROUGH COUNCIL,02-Dec-24,PUBLIC HEALTH,PHS GROUP PLC,02-Dec-24,32.40 ,HYGIENE EQUIPMENT,V002325760
ROCHDALE BOROUGH COUNCIL,02-Dec-24,PUBLIC HEALTH,PHS GROUP PLC,02-Dec-24,26.52 ,HYGIENE EQUIPMENT,V002325761
ROCHDALE BOROUGH COUNCIL,02-Dec-24,PUBLIC HEALTH,PHS GROUP PLC,02-Dec-24,68.83 ,HYGIENE EQUIPMENT,V002325762
ROCHDALE BOROUGH COUNCIL,02-Dec-24,PUBLIC HEALTH,PHS GROUP PLC,02-Dec-24,68.83 ,HYGIENE EQUIPMENT,V002325763
ROCHDALE BOROUGH COUNCIL,02-Dec-24,CHILDREN’S SOCIAL CARE,THE NATIONAL HOUSE PROJECT CIO,02-Dec-24,"5,950.00 ",PROFESSIONAL FEES,V002325767
ROCHDALE BOROUGH COUNCIL,02-Dec-24,ADULT CARE LCO FUNCTIONS,NONSTOP CONSULTING LTD,02-Dec-24,845.63 ,AGENCY STAFF,V002325768
ROCHDALE BOROUGH COUNCIL,02-Dec-24,NEIGHBOURHOODS AND ENVIRONMENT,WITH A PINCH OF SALT LTD,02-Dec-24,"4,200.00 ",CONSULTANT FEES,V002325769
ROCHDALE BOROUGH COUNCIL,02-Dec-24,EARLY HELP AND SCHOOLS,AXIOM EDUCATION ROCHDALE LIMITED,02-Dec-24,"1,566.74 ",SPECIFIED MAINTENANCE,V002325770
ROCHDALE BOROUGH COUNCIL,02-Dec-24,ADULT CARE LCO FUNCTIONS,TF JONES PROPERTY SERVICES LTD,02-Dec-24,"6,402.66 ",MINOR BUILDING WORKS,V002325771
